Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2018-06-06,2,23,µg/mc
"Parco S. Chiara",PM10,2018-06-06,3,22,µg/mc
"Parco S. Chiara",PM10,2018-06-06,4,22,µg/mc
"Parco S. Chiara",PM10,2018-06-06,5,21,µg/mc
"Parco S. Chiara",PM10,2018-06-06,6,20,µg/mc
"Parco S. Chiara",PM10,2018-06-06,7,18,µg/mc
"Parco S. Chiara",PM10,2018-06-06,8,16,µg/mc
"Parco S. Chiara",PM10,2018-06-06,9,14,µg/mc
"Parco S. Chiara",PM10,2018-06-06,10,10,µg/mc
"Parco S. Chiara",PM10,2018-06-06,11,7,µg/mc
"Parco S. Chiara",PM10,2018-06-06,12,6,µg/mc
"Parco S. Chiara",PM10,2018-06-06,13,5,µg/mc
"Parco S. Chiara",PM10,2018-06-06,14,6,µg/mc
"Parco S. Chiara",PM10,2018-06-06,15,9,µg/mc
"Parco S. Chiara",PM10,2018-06-06,16,16,µg/mc
"Parco S. Chiara",PM10,2018-06-06,17,22,µg/mc
"Parco S. Chiara",PM10,2018-06-06,18,19,µg/mc
"Parco S. Chiara",PM10,2018-06-06,19,16,µg/mc
"Parco S. Chiara",PM10,2018-06-06,20,25,µg/mc
"Parco S. Chiara",PM10,2018-06-06,21,35,µg/mc
"Parco S. Chiara",PM10,2018-06-06,22,35,µg/mc
"Parco S. Chiara",PM10,2018-06-06,23,24,µg/mc
"Parco S. Chiara",PM10,2018-06-06,24,21,µg/mc
"Parco S. Chiara",PM10,2018-06-07,1,19,µg/mc
"Parco S. Chiara",PM10,2018-06-07,2,19,µg/mc
