Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-02-25,7,29,µg/mc
"Parco S. Chiara",PM10,2019-02-25,8,30,µg/mc
"Parco S. Chiara",PM10,2019-02-25,9,31,µg/mc
"Parco S. Chiara",PM10,2019-02-25,10,30,µg/mc
"Parco S. Chiara",PM10,2019-02-25,11,26,µg/mc
"Parco S. Chiara",PM10,2019-02-25,12,22,µg/mc
"Parco S. Chiara",PM10,2019-02-25,13,20,µg/mc
"Parco S. Chiara",PM10,2019-02-25,14,18,µg/mc
"Parco S. Chiara",PM10,2019-02-25,15,18,µg/mc
"Parco S. Chiara",PM10,2019-02-25,16,13,µg/mc
"Parco S. Chiara",PM10,2019-02-25,17,15,µg/mc
"Parco S. Chiara",PM10,2019-02-25,18,25,µg/mc
"Parco S. Chiara",PM10,2019-02-25,19,30,µg/mc
"Parco S. Chiara",PM10,2019-02-25,20,36,µg/mc
"Parco S. Chiara",PM10,2019-02-25,21,39,µg/mc
"Parco S. Chiara",PM10,2019-02-25,22,39,µg/mc
"Parco S. Chiara",PM10,2019-02-25,23,38,µg/mc
"Parco S. Chiara",PM10,2019-02-25,24,33,µg/mc
"Parco S. Chiara",PM10,2019-02-26,1,28,µg/mc
"Parco S. Chiara",PM10,2019-02-26,2,24,µg/mc
"Parco S. Chiara",PM10,2019-02-26,3,22,µg/mc
"Parco S. Chiara",PM10,2019-02-26,4,19,µg/mc
"Parco S. Chiara",PM10,2019-02-26,5,18,µg/mc
"Parco S. Chiara",PM10,2019-02-26,6,15,µg/mc
"Parco S. Chiara",PM10,2019-02-26,7,15,µg/mc
"Parco S. Chiara",PM10,2019-02-26,8,16,µg/mc
"Parco S. Chiara",PM10,2019-02-26,9,21,µg/mc
"Parco S. Chiara",PM10,2019-02-26,10,23,µg/mc
"Parco S. Chiara",PM10,2019-02-26,11,15,µg/mc
"Parco S. Chiara",PM10,2019-02-26,12,15,µg/mc
"Parco S. Chiara",PM10,2019-02-26,13,19,µg/mc
"Parco S. Chiara",PM10,2019-02-26,14,17,µg/mc
"Parco S. Chiara",PM10,2019-02-26,15,15,µg/mc
"Parco S. Chiara",PM10,2019-02-26,16,16,µg/mc
"Parco S. Chiara",PM10,2019-02-26,17,19,µg/mc
"Parco S. Chiara",PM10,2019-02-26,18,31,µg/mc
"Parco S. Chiara",PM10,2019-02-26,19,45,µg/mc
"Parco S. Chiara",PM10,2019-02-26,20,48,µg/mc
"Parco S. Chiara",PM10,2019-02-26,21,50,µg/mc
"Parco S. Chiara",PM10,2019-02-26,22,45,µg/mc
"Parco S. Chiara",PM10,2019-02-26,23,53,µg/mc
"Parco S. Chiara",PM10,2019-02-26,24,39,µg/mc
"Parco S. Chiara",PM10,2019-02-27,1,30,µg/mc
"Parco S. Chiara",PM10,2019-02-27,2,21,µg/mc
"Parco S. Chiara",PM10,2019-02-27,3,21,µg/mc
"Parco S. Chiara",PM10,2019-02-27,4,24,µg/mc
"Parco S. Chiara",PM10,2019-02-27,5,20,µg/mc
